 ,Label,Area,X,Y,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0180-1111:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,101.407,78.674,12.681,36.633,12.003,10.757,131.532,0.950,1.116,0.896,1.000
2,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0305-1218:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,75.388,86.236,21.507,31.989,11.283,8.507,139.072,0.926,1.326,0.754,1.000
3,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0506-1478:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,53.528,103.951,35.637,27.483,9.723,7.009,156.090,0.891,1.387,0.721,0.999
4,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0534-1315:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,153.257,92.580,37.873,47.528,18.631,10.474,147.028,0.853,1.779,0.562,1.000
5,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0648-1519:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,56.363,107.002,45.870,28.149,10.169,7.057,144.304,0.894,1.441,0.694,1.000
6,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0107-0961:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,66.336,68.087,7.468,29.956,10.090,8.371,107.904,0.929,1.205,0.830,1.000
7,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0109-0802:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,54.744,56.611,7.819,27.756,10.392,6.707,152.694,0.893,1.549,0.645,0.999
8,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0241-0934:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,56.482,65.916,16.961,28.135,10.500,6.849,136.388,0.897,1.533,0.652,1.000
9,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0759-1539:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,37.258,108.730,53.327,23.063,8.109,5.850,129.003,0.880,1.386,0.722,1.001
10,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0853-1568:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,7.781,110.660,60.206,10.504,3.523,2.812,135.384,0.886,1.253,0.798,0.996
