Results Table 1


Results Table 2


1,Time,Displacement,Force,Compressive displacement,Compressive strain (Displacement),Compressive stress,PIP count
,(s),(mm),(kN),(mm),(%),(MPa),
"","0.0000","0.0000","0.0000","0.0000","0.0000","-0.0010","0.0000"
"","0.0200","0.0017","-0.0001","0.0017","0.0041","-0.0061","0.0000"
"","0.0400","0.0085","0.0000","0.0085","0.0213","-0.0020","0.0000"
"","0.0600","0.0236","0.0001","0.0236","0.0590","0.0069","0.0000"
"","0.0800","0.0465","0.0001","0.0465","0.1163","0.0087","0.0000"
"","0.1000","0.0712","0.0001","0.0712","0.1780","0.0064","0.0000"
"","0.1200","0.0940","0.0000","0.0940","0.2349","-0.0010","0.0000"
"","0.1400","0.1140","0.0000","0.1140","0.2851","-0.0030","0.0000"
"","0.1600","0.1326","0.0003","0.1326","0.3314","0.0276","0.0000"
"","0.1800","0.1502","0.0010","0.1502","0.3754","0.1037","0.0000"
"","0.2000","0.1674","0.0020","0.1674","0.4185","0.1952","0.0000"
"","0.2200","0.1845","0.0029","0.1845","0.4613","0.2910","0.0000"
"","0.2400","0.2016","0.0038","0.2016","0.5041","0.3804","0.0000"
"","0.2600","0.2185","0.0047","0.2185","0.5463","0.4673","0.0000"
"","0.2800","0.2350","0.0055","0.2350","0.5876","0.5541","0.0000"
"","0.3000","0.2516","0.0064","0.2516","0.6289","0.6406","0.0000"
"","0.3200","0.2682","0.0073","0.2682","0.6706","0.7268","0.0000"
"","0.3400","0.2852","0.0081","0.2852","0.7131","0.8072","0.0000"
"","0.3600","0.3019","0.0089","0.3019","0.7547","0.8886","0.0000"
"","0.3800","0.3186","0.0097","0.3186","0.7966","0.9747","0.0000"
"","0.4000","0.3354","0.0105","0.3354","0.8385","1.0533","0.0000"
"","0.4200","0.3519","0.0114","0.3519","0.8798","1.1363","0.0000"
"","0.4400","0.3682","0.0122","0.3682","0.9205","1.2198","0.0000"
"","0.4600","0.3849","0.0130","0.3849","0.9622","1.2993","0.0000"
"","0.4800","0.4017","0.0138","0.4017","1.0044","1.3786","0.0000"
"","0.5000","0.4186","0.0146","0.4186","1.0466","1.4616","0.0000"
"","0.5200","0.4352","0.0154","0.4352","1.0879","1.5410","0.0000"
"","0.5400","0.4519","0.0162","0.4519","1.1298","1.6195","0.0000"
"","0.5600","0.4684","0.0170","0.4684","1.1711","1.6960","0.0000"
"","0.5800","0.4849","0.0177","0.4849","1.2121","1.7729","0.0000"
"","0.6000","0.5013","0.0185","0.5013","1.2532","1.8485","0.0000"
"","0.6200","0.5180","0.0192","0.5180","1.2951","1.9247","0.0000"
"","0.6400","0.5350","0.0200","0.5350","1.3376","2.0021","0.0000"
"","0.6600","0.5518","0.0208","0.5518","1.3795","2.0807","0.0000"
"","0.6800","0.5686","0.0215","0.5686","1.4214","2.1534","0.0000"
"","0.7000","0.5852","0.0223","0.5852","1.4630","2.2270","0.0000"
"","0.7200","0.6018","0.0230","0.6018","1.5046","2.3024","0.0000"
"","0.7400","0.6184","0.0238","0.6184","1.5459","2.3784","0.0000"
"","0.7600","0.6350","0.0245","0.6350","1.5876","2.4502","0.0000"
"","0.7800","0.6518","0.0253","0.6518","1.6295","2.5262","0.0000"
"","0.8000","0.6685","0.0260","0.6685","1.6714","2.6021","0.0000"
"","0.8200","0.6852","0.0268","0.6852","1.7130","2.6795","0.0000"
"","0.8400","0.7017","0.0275","0.7017","1.7543","2.7519","0.0000"
"","0.8600","0.7182","0.0283","0.7182","1.7956","2.8278","0.0000"
"","0.8800","0.7349","0.0290","0.7349","1.8372","2.9017","0.0000"
"","0.9000","0.7517","0.0298","0.7517","1.8791","2.9777","0.0000"
"","0.9200","0.7684","0.0305","0.7684","1.9211","3.0521","0.0000"
"","0.9400","0.7851","0.0312","0.7851","1.9627","3.1249","0.0000"
"","0.9600","0.8016","0.0320","0.8016","2.0040","3.2009","0.0000"
"","0.9800","0.8182","0.0328","0.8182","2.0456","3.2772","0.0000"
"","1.0000","0.8349","0.0336","0.8349","2.0872","3.3562","0.0000"
"","1.0200","0.8514","0.0343","0.8514","2.1285","3.4337","0.0000"
"","1.0400","0.8681","0.0351","0.8681","2.1702","3.5079","0.0000"
"","1.0600","0.8847","0.0358","0.8847","2.2118","3.5839","0.0000"
"","1.0800","0.9016","0.0367","0.9016","2.2540","3.6652","0.0000"
"","1.1000","0.9186","0.0375","0.9186","2.2965","3.7460","0.0000"
"","1.1200","0.9354","0.0383","0.9354","2.3384","3.8335","0.0000"
"","1.1400","0.9518","0.0391","0.9518","2.3794","3.9085","0.0000"
"","1.1600","0.9682","0.0398","0.9682","2.4204","3.9814","0.0000"
"","1.1800","0.9848","0.0406","0.9848","2.4620","4.0592","0.0000"
"","1.2000","1.0016","0.0414","1.0016","2.5040","4.1392","0.0000"
"","1.2200","1.0182","0.0422","1.0182","2.5456","4.2178","0.0000"
"","1.2400","1.0350","0.0430","1.0350","2.5875","4.2982","0.0000"
"","1.2600","1.0519","0.0438","1.0519","2.6297","4.3798","0.0000"
"","1.2800","1.0684","0.0446","1.0684","2.6710","4.4621","0.0000"
"","1.3000","1.0849","0.0455","1.0849","2.7123","4.5464","0.0000"
"","1.3200","1.1017","0.0462","1.1017","2.7542","4.6247","0.0000"
"","1.3400","1.1187","0.0471","1.1187","2.7967","4.7064","0.0000"
"","1.3600","1.1353","0.0479","1.1353","2.8384","4.7879","0.0000"
"","1.3800","1.1519","0.0487","1.1519","2.8797","4.8711","0.0000"
"","1.4000","1.1685","0.0495","1.1685","2.9213","4.9512","0.0000"
"","1.4200","1.1850","0.0503","1.1850","2.9626","5.0307","0.0000"
"","1.4400","1.2016","0.0511","1.2016","3.0039","5.1102","0.0000"
"","1.4600","1.2182","0.0519","1.2182","3.0455","5.1898","0.0000"
"","1.4800","1.2351","0.0528","1.2351","3.0877","5.2827","0.0000"
"","1.5000","1.2519","0.0537","1.2519","3.1297","5.3680","0.0000"
"","1.5200","1.2686","0.0545","1.2686","3.1716","5.4491","0.0000"
"","1.5400","1.2853","0.0554","1.2853","3.2132","5.5368","0.0000"
"","1.5600","1.3017","0.0562","1.3017","3.2542","5.6214","0.0000"
"","1.5800","1.3182","0.0570","1.3182","3.2955","5.7049","0.0000"
"","1.6000","1.3347","0.0579","1.3347","3.3368","5.7919","0.0000"
"","1.6200","1.3516","0.0587","1.3516","3.3790","5.8723","0.0000"
"","1.6400","1.3685","0.0596","1.3685","3.4213","5.9558","0.0000"
"","1.6600","1.3853","0.0604","1.3853","3.4632","6.0412","0.0000"
"","1.6800","1.4019","0.0613","1.4019","3.5048","6.1288","0.0000"
"","1.7000","1.4182","0.0622","1.4182","3.5455","6.2169","0.0000"
"","1.7200","1.4348","0.0630","1.4348","3.5871","6.3013","0.0000"
"","1.7400","1.4515","0.0638","1.4515","3.6287","6.3830","0.0000"
"","1.7600","1.4685","0.0647","1.4685","3.6712","6.4672","0.0000"
"","1.7800","1.4853","0.0655","1.4853","3.7131","6.5532","0.0000"
"","1.8000","1.5019","0.0664","1.5019","3.7548","6.6428","0.0000"
"","1.8200","1.5184","0.0673","1.5184","3.7961","6.7277","0.0000"
"","1.8400","1.5350","0.0681","1.5350","3.8374","6.8126","0.0000"
"","1.8600","1.5514","0.0690","1.5514","3.8784","6.9031","0.0000"
"","1.8800","1.5681","0.0699","1.5681","3.9203","6.9882","0.0000"
"","1.9000","1.5850","0.0707","1.5850","3.9625","7.0685","0.0000"
"","1.9200","1.6019","0.0715","1.6019","4.0047","7.1504","0.0000"
"","1.9400","1.6187","0.0723","1.6187","4.0466","7.2341","0.0000"
"","1.9600","1.6352","0.0732","1.6352","4.0880","7.3221","0.0000"
"","1.9800","1.6517","0.0741","1.6517","4.1293","7.4096","0.0000"
"","2.0000","1.6682","0.0750","1.6682","4.1706","7.4954","0.0000"
"","2.0200","1.6849","0.0758","1.6849","4.2122","7.5775","0.0000"
"","2.0400","1.7017","0.0766","1.7017","4.2541","7.6587","0.0000"
"","2.0600","1.7183","0.0774","1.7183","4.2957","7.7428","0.0000"
"","2.0800","1.7352","0.0783","1.7352","4.3380","7.8273","0.0000"
"","2.1000","1.7518","0.0791","1.7518","4.3796","7.9149","0.0000"
"","2.1200","1.7685","0.0800","1.7685","4.4212","8.0022","0.0000"
"","2.1400","1.7850","0.0808","1.7850","4.4625","8.0850","0.0000"
"","2.1600","1.8014","0.0817","1.8014","4.5035","8.1688","0.0000"
"","2.1800","1.8183","0.0825","1.8183","4.5457","8.2529","0.0000"
"","2.2000","1.8352","0.0834","1.8352","4.5879","8.3373","0.0000"
"","2.2200","1.8521","0.0843","1.8521","4.6301","8.4274","0.0000"
"","2.2400","1.8686","0.0852","1.8686","4.6715","8.5170","0.0000"
"","2.2600","1.8851","0.0861","1.8851","4.7128","8.6063","0.0000"
"","2.2800","1.9018","0.0870","1.9018","4.7544","8.6958","0.0000"
"","2.3000","1.9183","0.0878","1.9183","4.7957","8.7833","0.0000"
"","2.3200","1.9348","0.0887","1.9348","4.8370","8.8700","0.0000"
"","2.3400","1.9515","0.0896","1.9515","4.8786","8.9572","0.0000"
"","2.3600","1.9682","0.0904","1.9682","4.9206","9.0410","0.0000"
"","2.3800","1.9851","0.0913","1.9851","4.9628","9.1262","0.0000"
"","2.4000","2.0016","0.0922","2.0016","5.0041","9.2155","0.0000"
"","2.4200","2.0180","0.0931","2.0180","5.0451","9.3069","0.0000"
"","2.4400","2.0348","0.0940","2.0348","5.0870","9.3961","0.0000"
"","2.4600","2.0517","0.0948","2.0517","5.1292","9.4828","0.0000"
"","2.4800","2.0686","0.0957","2.0686","5.1714","9.5700","0.0000"
"","2.5000","2.0853","0.0966","2.0853","5.2133","9.6571","0.0000"
"","2.5200","2.1020","0.0974","2.1020","5.2549","9.7438","0.0000"
"","2.5400","2.1184","0.0983","2.1184","5.2960","9.8297","0.0000"
"","2.5600","2.1349","0.0991","2.1349","5.3373","9.9109","0.0000"
"","2.5800","2.1516","0.1000","2.1516","5.3789","9.9977","0.0000"
"","2.6000","2.1683","0.1009","2.1683","5.4208","10.0861","0.0000"
"","2.6200","2.1852","0.1018","2.1852","5.4630","10.1756","0.0000"
"","2.6400","2.2019","0.1026","2.2019","5.5046","10.2604","0.0000"
"","2.6600","2.2183","0.1034","2.2183","5.5457","10.3447","0.0000"
"","2.6800","2.2347","0.1043","2.2347","5.5867","10.4284","0.0000"
"","2.7000","2.2513","0.1051","2.2513","5.6283","10.5136","0.0000"
"","2.7200","2.2682","0.1060","2.2682","5.6705","10.6011","0.0000"
"","2.7400","2.2851","0.1069","2.2851","5.7127","10.6871","0.0000"
"","2.7600","2.3018","0.1078","2.3018","5.7546","10.7759","0.0000"
"","2.7800","2.3185","0.1087","2.3185","5.7962","10.8654","0.0000"
"","2.8000","2.3353","0.1095","2.3353","5.8381","10.9498","0.0000"
"","2.8200","2.3519","0.1104","2.3519","5.8798","11.0355","0.0000"
"","2.8400","2.3683","0.1112","2.3683","5.9208","11.1243","0.0000"
"","2.8600","2.3848","0.1122","2.3848","5.9621","11.2165","0.0000"
"","2.8800","2.4015","0.1131","2.4015","6.0037","11.3083","0.0000"
"","2.9000","2.4184","0.1140","2.4184","6.0459","11.4025","0.0000"
"","2.9200","2.4350","0.1150","2.4350","6.0875","11.5019","0.0000"
"","2.9400","2.4517","0.1159","2.4517","6.1291","11.5945","0.0000"
"","2.9600","2.4684","0.1168","2.4684","6.1711","11.6820","0.0000"
"","2.9800","2.4850","0.1179","2.4850","6.2124","11.7869","0.0000"
"","3.0000","2.5015","0.1189","2.5015","6.2537","11.8865","0.0000"
"","3.0200","2.5181","0.1198","2.5181","6.2953","11.9807","0.0000"
"","3.0400","2.5349","0.1208","2.5349","6.3372","12.0775","0.0000"
"","3.0600","2.5515","0.1218","2.5515","6.3788","12.1763","0.0000"
"","3.0800","2.5684","0.1227","2.5684","6.4210","12.2723","0.0000"
"","3.1000","2.5852","0.1237","2.5852","6.4630","12.3681","0.0000"
