Results Table 1


Results Table 2


1,Time,Displacement,Force,Compressive displacement,Compressive strain (Displacement),Compressive stress,PIP count
,(s),(mm),(kN),(mm),(%),(MPa),
"","0.0000","0.0000","0.0000","0.0000","0.0000","0.0005","0.0000"
"","0.0200","0.0022","0.0000","0.0022","0.0056","-0.0004","0.0000"
"","0.0400","0.0105","0.0000","0.0105","0.0263","0.0024","0.0000"
"","0.0600","0.0272","0.0001","0.0272","0.0679","0.0071","0.0000"
"","0.0800","0.0497","0.0001","0.0497","0.1243","0.0077","0.0000"
"","0.1000","0.0727","0.0000","0.0727","0.1818","0.0023","0.0000"
"","0.1200","0.0940","0.0000","0.0940","0.2349","-0.0020","0.0000"
"","0.1400","0.1135","0.0000","0.1135","0.2836","-0.0042","0.0000"
"","0.1600","0.1320","0.0000","0.1320","0.3300","-0.0019","0.0000"
"","0.1800","0.1497","0.0004","0.1497","0.3742","0.0380","0.0000"
"","0.2000","0.1672","0.0011","0.1672","0.4179","0.1146","0.0000"
"","0.2200","0.1844","0.0020","0.1844","0.4610","0.1975","0.0000"
"","0.2400","0.2014","0.0027","0.2014","0.5035","0.2750","0.0000"
"","0.2600","0.2184","0.0035","0.2184","0.5460","0.3526","0.0000"
"","0.2800","0.2350","0.0043","0.2350","0.5876","0.4345","0.0000"
"","0.3000","0.2516","0.0051","0.2516","0.6289","0.5149","0.0000"
"","0.3200","0.2681","0.0059","0.2681","0.6703","0.5898","0.0000"
"","0.3400","0.2850","0.0067","0.2850","0.7125","0.6694","0.0000"
"","0.3600","0.3019","0.0075","0.3019","0.7547","0.7465","0.0000"
"","0.3800","0.3186","0.0082","0.3186","0.7966","0.8249","0.0000"
"","0.4000","0.3353","0.0090","0.3353","0.8382","0.9008","0.0000"
"","0.4200","0.3518","0.0098","0.3518","0.8795","0.9778","0.0000"
"","0.4400","0.3683","0.0105","0.3683","0.9208","1.0534","0.0000"
"","0.4600","0.3847","0.0113","0.3847","0.9619","1.1305","0.0000"
"","0.4800","0.4016","0.0121","0.4016","1.0041","1.2092","0.0000"
"","0.5000","0.4186","0.0129","0.4186","1.0466","1.2861","0.0000"
"","0.5200","0.4354","0.0136","0.4354","1.0885","1.3639","0.0000"
"","0.5400","0.4520","0.0144","0.4520","1.1301","1.4383","0.0000"
"","0.5600","0.4684","0.0151","0.4684","1.1711","1.5132","0.0000"
"","0.5800","0.4850","0.0159","0.4850","1.2124","1.5895","0.0000"
"","0.6000","0.5014","0.0167","0.5014","1.2535","1.6653","0.0000"
"","0.6200","0.5180","0.0174","0.5180","1.2951","1.7406","0.0000"
"","0.6400","0.5350","0.0181","0.5350","1.3376","1.8145","0.0000"
"","0.6600","0.5519","0.0189","0.5519","1.3798","1.8902","0.0000"
"","0.6800","0.5686","0.0197","0.5686","1.4214","1.9678","0.0000"
"","0.7000","0.5851","0.0204","0.5851","1.4627","2.0429","0.0000"
"","0.7200","0.6017","0.0212","0.6017","1.5043","2.1196","0.0000"
"","0.7400","0.6183","0.0219","0.6183","1.5456","2.1920","0.0000"
"","0.7600","0.6350","0.0227","0.6350","1.5876","2.2681","0.0000"
"","0.7800","0.6518","0.0235","0.6518","1.6295","2.3465","0.0000"
"","0.8000","0.6685","0.0243","0.6685","1.6714","2.4260","0.0000"
"","0.8200","0.6852","0.0250","0.6852","1.7130","2.5037","0.0000"
"","0.8400","0.7017","0.0258","0.7017","1.7543","2.5785","0.0000"
"","0.8600","0.7184","0.0266","0.7184","1.7959","2.6555","0.0000"
"","0.8800","0.7352","0.0274","0.7352","1.8381","2.7354","0.0000"
"","0.9000","0.7519","0.0280","0.7519","1.8797","2.8042","0.0000"
"","0.9200","0.7685","0.0288","0.7685","1.9214","2.8803","0.0000"
"","0.9400","0.7853","0.0296","0.7853","1.9633","2.9614","0.0000"
"","0.9600","0.8021","0.0304","0.8021","2.0052","3.0386","0.0000"
"","0.9800","0.8186","0.0312","0.8186","2.0465","3.1156","0.0000"
"","1.0000","0.8349","0.0319","0.8349","2.0872","3.1926","0.0000"
"","1.0200","0.8515","0.0326","0.8515","2.1288","3.2649","0.0000"
"","1.0400","0.8682","0.0334","0.8682","2.1705","3.3382","0.0000"
"","1.0600","0.8848","0.0341","0.8848","2.2121","3.4141","0.0000"
"","1.0800","0.9017","0.0349","0.9017","2.2543","3.4916","0.0000"
"","1.1000","0.9186","0.0357","0.9186","2.2965","3.5718","0.0000"
"","1.1200","0.9354","0.0365","0.9354","2.3384","3.6477","0.0000"
"","1.1400","0.9516","0.0372","0.9516","2.3791","3.7214","0.0000"
"","1.1600","0.9682","0.0380","0.9682","2.4204","3.7962","0.0000"
"","1.1800","0.9851","0.0387","0.9851","2.4626","3.8722","0.0000"
"","1.2000","1.0017","0.0395","1.0017","2.5043","3.9498","0.0000"
"","1.2200","1.0183","0.0403","1.0183","2.5459","4.0252","0.0000"
"","1.2400","1.0352","0.0410","1.0352","2.5881","4.0981","0.0000"
"","1.2600","1.0521","0.0419","1.0521","2.6303","4.1855","0.0000"
"","1.2800","1.0685","0.0427","1.0685","2.6713","4.2687","0.0000"
"","1.3000","1.0850","0.0434","1.0850","2.7126","4.3429","0.0000"
"","1.3200","1.1018","0.0442","1.1018","2.7545","4.4153","0.0000"
"","1.3400","1.1187","0.0449","1.1187","2.7967","4.4922","0.0000"
"","1.3600","1.1355","0.0457","1.1355","2.8386","4.5699","0.0000"
"","1.3800","1.1520","0.0465","1.1520","2.8800","4.6479","0.0000"
"","1.4000","1.1686","0.0473","1.1686","2.9216","4.7265","0.0000"
"","1.4200","1.1850","0.0480","1.1850","2.9626","4.8003","0.0000"
"","1.4400","1.2017","0.0487","1.2017","3.0042","4.8742","0.0000"
"","1.4600","1.2183","0.0495","1.2183","3.0458","4.9488","0.0000"
"","1.4800","1.2351","0.0503","1.2351","3.0877","5.0302","0.0000"
"","1.5000","1.2519","0.0511","1.2519","3.1297","5.1104","0.0000"
"","1.5200","1.2684","0.0518","1.2684","3.1710","5.1843","0.0000"
"","1.5400","1.2852","0.0526","1.2852","3.2129","5.2615","0.0000"
