Results Table 1


Results Table 2


Time,Displacement,Force,Compressive displacement,Compressive strain (Displacement),Compressive stress,PIP count
(s),(mm),(kN),(mm),(%),(MPa),
"0.0000","0.0001","0.0001","0.0001","0.0003","0.0050","0.0000"
"0.0200","0.0018","0.0001","0.0018","0.0044","0.0085","0.0000"
"0.0400","0.0125","0.0002","0.0125","0.0313","0.0151","0.0000"
"0.0600","0.0323","0.0002","0.0323","0.0809","0.0169","0.0000"
"0.0800","0.0553","0.0002","0.0553","0.1381","0.0157","0.0000"
"0.1000","0.0773","0.0001","0.0773","0.1933","0.0093","0.0000"
"0.1200","0.0975","0.0001","0.0975","0.2438","0.0066","0.0000"
"0.1400","0.1159","0.0001","0.1159","0.2898","0.0075","0.0000"
"0.1600","0.1334","0.0001","0.1334","0.3335","0.0050","0.0000"
"0.1800","0.1504","0.0000","0.1504","0.3760","0.0038","0.0000"
"0.2000","0.1674","0.0001","0.1674","0.4185","0.0066","0.0000"
"0.2200","0.1844","0.0001","0.1844","0.4610","0.0051","0.0000"
"0.2400","0.2013","0.0001","0.2013","0.5032","0.0065","0.0000"
"0.2600","0.2180","0.0001","0.2180","0.5451","0.0124","0.0000"
"0.2800","0.2347","0.0004","0.2347","0.5867","0.0414","0.0000"
"0.3000","0.2512","0.0009","0.2512","0.6281","0.0924","0.0000"
"0.3200","0.2680","0.0015","0.2680","0.6700","0.1477","0.0000"
"0.3400","0.2850","0.0020","0.2850","0.7125","0.2015","0.0000"
"0.3600","0.3018","0.0026","0.3018","0.7544","0.2586","0.0000"
"0.3800","0.3185","0.0031","0.3185","0.7963","0.3141","0.0000"
"0.4000","0.3353","0.0037","0.3353","0.8382","0.3697","0.0000"
"0.4200","0.3518","0.0042","0.3518","0.8795","0.4222","0.0000"
"0.4400","0.3682","0.0048","0.3682","0.9205","0.4770","0.0000"
"0.4600","0.3849","0.0053","0.3849","0.9622","0.5287","0.0000"
"0.4800","0.4017","0.0058","0.4017","1.0044","0.5849","0.0000"
"0.5000","0.4185","0.0064","0.4185","1.0463","0.6397","0.0000"
"0.5200","0.4353","0.0069","0.4353","1.0882","0.6888","0.0000"
"0.5400","0.4519","0.0074","0.4519","1.1298","0.7439","0.0000"
"0.5600","0.4686","0.0080","0.4686","1.1714","0.8022","0.0000"
"0.5800","0.4847","0.0085","0.4847","1.2118","0.8521","0.0000"
"0.6000","0.5013","0.0091","0.5013","1.2532","0.9090","0.0000"
"0.6200","0.5180","0.0096","0.5180","1.2951","0.9609","0.0000"
"0.6400","0.5349","0.0102","0.5349","1.3373","1.0176","0.0000"
"0.6600","0.5517","0.0108","0.5517","1.3792","1.0758","0.0000"
"0.6800","0.5684","0.0114","0.5684","1.4211","1.1351","0.0000"
"0.7000","0.5852","0.0119","0.5852","1.4630","1.1897","0.0000"
"0.7200","0.6018","0.0124","0.6018","1.5046","1.2442","0.0000"
"0.7400","0.6183","0.0130","0.6183","1.5456","1.2986","0.0000"
"0.7600","0.6349","0.0136","0.6349","1.5873","1.3551","0.0000"
"0.7800","0.6518","0.0141","0.6518","1.6295","1.4123","0.0000"
"0.8000","0.6685","0.0147","0.6685","1.6714","1.4720","0.0000"
"0.8200","0.6851","0.0153","0.6851","1.7127","1.5316","0.0000"
"0.8400","0.7017","0.0159","0.7017","1.7543","1.5944","0.0000"
"0.8600","0.7182","0.0166","0.7182","1.7956","1.6564","0.0000"
"0.8800","0.7348","0.0171","0.7348","1.8369","1.7137","0.0000"
"0.9000","0.7514","0.0177","0.7514","1.8786","1.7731","0.0000"
"0.9200","0.7684","0.0183","0.7684","1.9211","1.8326","0.0000"
"0.9400","0.7851","0.0190","0.7851","1.9627","1.9035","0.0000"
"0.9600","0.8016","0.0197","0.8016","2.0040","1.9675","0.0000"
"0.9800","0.8180","0.0203","0.8180","2.0450","2.0307","0.0000"
"1.0000","0.8348","0.0209","0.8348","2.0869","2.0929","0.0000"
"1.0200","0.8518","0.0216","0.8518","2.1294","2.1551","0.0000"
"1.0400","0.8683","0.0222","0.8683","2.1707","2.2203","0.0000"
"1.0600","0.8849","0.0228","0.8849","2.2124","2.2845","0.0000"
"1.0800","0.9018","0.0235","0.9018","2.2546","2.3488","0.0000"
"1.1000","0.9188","0.0242","0.9188","2.2971","2.4170","0.0000"
"1.1200","0.9352","0.0249","0.9352","2.3381","2.4865","0.0000"
"1.1400","0.9516","0.0255","0.9516","2.3791","2.5517","0.0000"
"1.1600","0.9683","0.0262","0.9683","2.4207","2.6174","0.0000"
"1.1800","0.9849","0.0269","0.9849","2.4623","2.6871","0.0000"
"1.2000","1.0018","0.0276","1.0018","2.5045","2.7552","0.0000"
"1.2200","1.0183","0.0282","1.0183","2.5459","2.8239","0.0000"
"1.2400","1.0351","0.0289","1.0351","2.5878","2.8944","0.0000"
"1.2600","1.0518","0.0297","1.0518","2.6294","2.9663","0.0000"
"1.2800","1.0683","0.0304","1.0683","2.6707","3.0409","0.0000"
"1.3000","1.0847","0.0311","1.0847","2.7117","3.1130","0.0000"
"1.3200","1.1016","0.0319","1.1016","2.7539","3.1851","0.0000"
"1.3400","1.1183","0.0326","1.1183","2.7959","3.2553","0.0000"
