Results Table 1


Results Table 2


1,Time,Displacement,Force,Compressive displacement,Compressive strain (Displacement),Compressive stress,PIP count
,(s),(mm),(kN),(mm),(%),(MPa),
"","0.0000","0.0000","0.0000","0.0000","0.0000","-0.0026","0.0000"
"","0.0200","0.0018","0.0000","0.0018","0.0012","0.0000","0.0000"
"","0.0400","0.0126","0.0000","0.0126","0.0084","0.0025","0.0000"
"","0.0600","0.0326","0.0000","0.0326","0.0217","0.0038","0.0000"
"","0.0800","0.0555","0.0001","0.0555","0.0370","0.0077","0.0000"
"","0.1000","0.0776","0.0001","0.0776","0.0517","0.0089","0.0000"
"","0.1200","0.0975","0.0001","0.0975","0.0650","0.0073","0.0000"
"","0.1400","0.1160","0.0001","0.1160","0.0774","0.0059","0.0000"
"","0.1600","0.1338","0.0001","0.1338","0.0892","0.0067","0.0000"
"","0.1800","0.1509","0.0001","0.1509","0.1006","0.0053","0.0000"
"","0.2000","0.1678","0.0001","0.1678","0.1118","0.0054","0.0000"
"","0.2200","0.1844","0.0001","0.1844","0.1229","0.0070","0.0000"
"","0.2400","0.2013","0.0001","0.2013","0.1342","0.0102","0.0000"
"","0.2600","0.2179","0.0001","0.2179","0.1453","0.0135","0.0000"
"","0.2800","0.2346","0.0001","0.2346","0.1564","0.0133","0.0000"
"","0.3000","0.2512","0.0001","0.2512","0.1675","0.0135","0.0000"
"","0.3200","0.2681","0.0001","0.2681","0.1787","0.0139","0.0000"
"","0.3400","0.2849","0.0002","0.2849","0.1899","0.0159","0.0000"
"","0.3600","0.3016","0.0002","0.3016","0.2011","0.0161","0.0000"
"","0.3800","0.3183","0.0002","0.3183","0.2122","0.0153","0.0000"
"","0.4000","0.3349","0.0002","0.3349","0.2233","0.0163","0.0000"
"","0.4200","0.3515","0.0002","0.3515","0.2343","0.0182","0.0000"
"","0.4400","0.3681","0.0002","0.3681","0.2454","0.0202","0.0000"
"","0.4600","0.3847","0.0002","0.3847","0.2565","0.0197","0.0000"
"","0.4800","0.4016","0.0002","0.4016","0.2678","0.0220","0.0000"
"","0.5000","0.4183","0.0002","0.4183","0.2788","0.0209","0.0000"
"","0.5200","0.4349","0.0002","0.4349","0.2899","0.0248","0.0000"
"","0.5400","0.4517","0.0002","0.4517","0.3011","0.0232","0.0000"
"","0.5600","0.4684","0.0002","0.4684","0.3123","0.0241","0.0000"
"","0.5800","0.4850","0.0002","0.4850","0.3233","0.0244","0.0000"
"","0.6000","0.5016","0.0003","0.5016","0.3344","0.0258","0.0000"
"","0.6200","0.5183","0.0003","0.5183","0.3455","0.0281","0.0000"
"","0.6400","0.5351","0.0003","0.5351","0.3568","0.0281","0.0000"
"","0.6600","0.5519","0.0003","0.5519","0.3679","0.0274","0.0000"
"","0.6800","0.5683","0.0002","0.5683","0.3789","0.0247","0.0000"
"","0.7000","0.5847","0.0003","0.5847","0.3898","0.0262","0.0000"
"","0.7200","0.6014","0.0003","0.6014","0.4009","0.0311","0.0000"
"","0.7400","0.6181","0.0003","0.6181","0.4121","0.0319","0.0000"
"","0.7600","0.6349","0.0003","0.6349","0.4233","0.0338","0.0000"
"","0.7800","0.6517","0.0003","0.6517","0.4344","0.0333","0.0000"
"","0.8000","0.6684","0.0003","0.6684","0.4456","0.0342","0.0000"
"","0.8200","0.6850","0.0003","0.6850","0.4566","0.0336","0.0000"
"","0.8400","0.7012","0.0003","0.7012","0.4675","0.0317","0.0000"
"","0.8600","0.7179","0.0004","0.7179","0.4786","0.0359","0.0000"
"","0.8800","0.7349","0.0003","0.7349","0.4899","0.0335","0.0000"
"","0.9000","0.7514","0.0004","0.7514","0.5009","0.0352","0.0000"
"","0.9200","0.7682","0.0004","0.7682","0.5121","0.0400","0.0000"
"","0.9400","0.7851","0.0004","0.7851","0.5234","0.0407","0.0000"
"","0.9600","0.8018","0.0004","0.8018","0.5346","0.0380","0.0000"
"","0.9800","0.8182","0.0004","0.8182","0.5455","0.0373","0.0000"
"","1.0000","0.8348","0.0004","0.8348","0.5565","0.0399","0.0000"
"","1.0200","0.8515","0.0004","0.8515","0.5677","0.0430","0.0000"
"","1.0400","0.8683","0.0004","0.8683","0.5789","0.0435","0.0000"
"","1.0600","0.8851","0.0004","0.8851","0.5900","0.0420","0.0000"
"","1.0800","0.9017","0.0004","0.9017","0.6011","0.0410","0.0000"
"","1.1000","0.9185","0.0004","0.9185","0.6123","0.0433","0.0000"
"","1.1200","0.9349","0.0004","0.9349","0.6233","0.0441","0.0000"
"","1.1400","0.9515","0.0004","0.9515","0.6344","0.0444","0.0000"
"","1.1600","0.9681","0.0005","0.9681","0.6454","0.0452","0.0000"
"","1.1800","0.9849","0.0005","0.9849","0.6566","0.0470","0.0000"
"","1.2000","1.0017","0.0005","1.0017","0.6678","0.0487","0.0000"
"","1.2200","1.0183","0.0005","1.0183","0.6789","0.0497","0.0000"
"","1.2400","1.0349","0.0005","1.0349","0.6899","0.0471","0.0000"
"","1.2600","1.0513","0.0005","1.0513","0.7009","0.0517","0.0000"
"","1.2800","1.0679","0.0005","1.0679","0.7120","0.0511","0.0000"
"","1.3000","1.0847","0.0005","1.0847","0.7231","0.0518","0.0000"
"","1.3200","1.1016","0.0005","1.1016","0.7344","0.0521","0.0000"
"","1.3400","1.1185","0.0005","1.1185","0.7456","0.0528","0.0000"
"","1.3600","1.1352","0.0005","1.1352","0.7568","0.0530","0.0000"
"","1.3800","1.1516","0.0005","1.1516","0.7678","0.0518","0.0000"
"","1.4000","1.1682","0.0005","1.1682","0.7788","0.0501","0.0000"
"","1.4200","1.1847","0.0005","1.1847","0.7898","0.0530","0.0000"
"","1.4400","1.2013","0.0006","1.2013","0.8009","0.0569","0.0000"
"","1.4600","1.2180","0.0005","1.2180","0.8120","0.0545","0.0000"
"","1.4800","1.2350","0.0005","1.2350","0.8233","0.0524","0.0000"
"","1.5000","1.2517","0.0005","1.2517","0.8345","0.0530","0.0000"
"","1.5200","1.2684","0.0005","1.2684","0.8456","0.0538","0.0000"
"","1.5400","1.2848","0.0005","1.2848","0.8565","0.0527","0.0000"
"","1.5600","1.3017","0.0006","1.3017","0.8678","0.0560","0.0000"
"","1.5800","1.3183","0.0006","1.3183","0.8789","0.0586","0.0000"
"","1.6000","1.3349","0.0006","1.3349","0.8899","0.0609","0.0000"
"","1.6200","1.3516","0.0006","1.3516","0.9011","0.0590","0.0000"
"","1.6400","1.3684","0.0006","1.3684","0.9123","0.0587","0.0000"
"","1.6600","1.3851","0.0006","1.3851","0.9234","0.0623","0.0000"
"","1.6800","1.4016","0.0006","1.4016","0.9344","0.0625","0.0000"
"","1.7000","1.4181","0.0006","1.4181","0.9454","0.0604","0.0000"
"","1.7200","1.4347","0.0006","1.4347","0.9565","0.0595","0.0000"
"","1.7400","1.4514","0.0006","1.4514","0.9676","0.0602","0.0000"
"","1.7600","1.4680","0.0006","1.4680","0.9787","0.0619","0.0000"
"","1.7800","1.4850","0.0006","1.4850","0.9900","0.0622","0.0000"
"","1.8000","1.5017","0.0006","1.5017","1.0011","0.0612","0.0000"
"","1.8200","1.5180","0.0006","1.5180","1.0120","0.0624","0.0000"
"","1.8400","1.5344","0.0007","1.5344","1.0229","0.0652","0.0000"
"","1.8600","1.5511","0.0006","1.5511","1.0341","0.0622","0.0000"
"","1.8800","1.5681","0.0006","1.5681","1.0454","0.0632","0.0000"
"","1.9000","1.5847","0.0006","1.5847","1.0564","0.0622","0.0000"
"","1.9200","1.6014","0.0006","1.6014","1.0676","0.0619","0.0000"
"","1.9400","1.6184","0.0006","1.6184","1.0789","0.0632","0.0000"
"","1.9600","1.6350","0.0007","1.6350","1.0900","0.0689","0.0000"
"","1.9800","1.6515","0.0007","1.6515","1.1010","0.0705","0.0000"
"","2.0000","1.6680","0.0007","1.6680","1.1120","0.0712","0.0000"
"","2.0200","1.6850","0.0007","1.6850","1.1233","0.0709","0.0000"
"","2.0400","1.7017","0.0007","1.7017","1.1344","0.0730","0.0000"
"","2.0600","1.7182","0.0007","1.7182","1.1455","0.0729","0.0000"
"","2.0800","1.7349","0.0007","1.7349","1.1566","0.0729","0.0000"
"","2.1000","1.7516","0.0008","1.7516","1.1677","0.0758","0.0000"
"","2.1200","1.7682","0.0008","1.7682","1.1788","0.0763","0.0000"
"","2.1400","1.7848","0.0007","1.7848","1.1898","0.0738","0.0000"
"","2.1600","1.8014","0.0007","1.8014","1.2009","0.0737","0.0000"
"","2.1800","1.8181","0.0007","1.8181","1.2120","0.0744","0.0000"
"","2.2000","1.8347","0.0008","1.8347","1.2231","0.0763","0.0000"
"","2.2200","1.8515","0.0008","1.8515","1.2343","0.0791","0.0000"
"","2.2400","1.8681","0.0008","1.8681","1.2454","0.0783","0.0000"
"","2.2600","1.8848","0.0008","1.8848","1.2565","0.0794","0.0000"
"","2.2800","1.9012","0.0009","1.9012","1.2674","0.0883","0.0000"
"","2.3000","1.9179","0.0009","1.9179","1.2786","0.0887","0.0000"
"","2.3200","1.9349","0.0008","1.9349","1.2900","0.0844","0.0000"
"","2.3400","1.9516","0.0008","1.9516","1.3011","0.0829","0.0000"
"","2.3600","1.9682","0.0008","1.9682","1.3121","0.0822","0.0000"
"","2.3800","1.9849","0.0008","1.9849","1.3232","0.0829","0.0000"
"","2.4000","2.0015","0.0008","2.0015","1.3343","0.0841","0.0000"
"","2.4200","2.0180","0.0008","2.0180","1.3454","0.0839","0.0000"
"","2.4400","2.0347","0.0009","2.0347","1.3565","0.0875","0.0000"
"","2.4600","2.0516","0.0009","2.0516","1.3677","0.0889","0.0000"
"","2.4800","2.0682","0.0009","2.0682","1.3788","0.0907","0.0000"
"","2.5000","2.0849","0.0009","2.0849","1.3899","0.0891","0.0000"
"","2.5200","2.1014","0.0009","2.1014","1.4009","0.0873","0.0000"
"","2.5400","2.1182","0.0009","2.1182","1.4121","0.0886","0.0000"
"","2.5600","2.1347","0.0009","2.1347","1.4231","0.0879","0.0000"
"","2.5800","2.1513","0.0009","2.1513","1.4342","0.0887","0.0000"
"","2.6000","2.1682","0.0009","2.1682","1.4455","0.0903","0.0000"
"","2.6200","2.1851","0.0008","2.1851","1.4567","0.0846","0.0000"
"","2.6400","2.2017","0.0009","2.2017","1.4678","0.0905","0.0000"
"","2.6600","2.2184","0.0009","2.2184","1.4789","0.0946","0.0000"
"","2.6800","2.2350","0.0010","2.2350","1.4900","0.0955","0.0000"
"","2.7000","2.2516","0.0010","2.2516","1.5010","0.0975","0.0000"
"","2.7200","2.2682","0.0010","2.2682","1.5121","0.0979","0.0000"
"","2.7400","2.2850","0.0010","2.2850","1.5233","0.0981","0.0000"
