Results Table 1


Results Table 2


Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
(s),(mm),(kN),(mm),(%),(MPa)
"0.0000","0.0532","0.0002","0.0532","0.1087","0.0992"
"0.0200","0.0554","0.0002","0.0554","0.1130","0.0959"
"0.0400","0.0633","0.0003","0.0633","0.1291","0.1233"
"0.0600","0.0797","0.0004","0.0797","0.1626","0.1636"
"0.0800","0.1016","0.0005","0.1016","0.2074","0.2166"
"0.1000","0.1247","0.0007","0.1247","0.2544","0.2763"
"0.1200","0.1459","0.0008","0.1459","0.2978","0.3407"
"0.1400","0.1654","0.0010","0.1654","0.3375","0.4151"
"0.1600","0.1839","0.0012","0.1839","0.3754","0.4831"
"0.1800","0.2018","0.0013","0.2018","0.4117","0.5541"
"0.2000","0.2191","0.0015","0.2191","0.4472","0.6300"
"0.2200","0.2362","0.0017","0.2362","0.4821","0.6880"
"0.2400","0.2531","0.0018","0.2531","0.5166","0.7435"
"0.2600","0.2696","0.0019","0.2696","0.5503","0.7981"
"0.2800","0.2864","0.0020","0.2864","0.5845","0.8523"
"0.3000","0.3032","0.0022","0.3032","0.6187","0.9033"
"0.3200","0.3199","0.0023","0.3199","0.6529","0.9576"
"0.3400","0.3367","0.0024","0.3367","0.6871","0.9943"
"0.3600","0.3535","0.0025","0.3535","0.7213","1.0315"
"0.3800","0.3699","0.0026","0.3699","0.7548","1.0865"
"0.4000","0.3865","0.0027","0.3865","0.7888","1.1315"
"0.4200","0.4030","0.0028","0.4030","0.8225","1.1815"
"0.4400","0.4197","0.0030","0.4197","0.8565","1.2314"
"0.4600","0.4366","0.0031","0.4366","0.8910","1.2911"
"0.4800","0.4535","0.0032","0.4535","0.9254","1.3457"
"0.5000","0.4701","0.0033","0.4701","0.9594","1.3544"
"0.5200","0.4866","0.0034","0.4866","0.9931","1.3961"
"0.5400","0.5033","0.0035","0.5033","1.0271","1.4666"
"0.5600","0.5198","0.0036","0.5198","1.0608","1.5021"
"0.5800","0.5366","0.0037","0.5366","1.0950","1.5401"
"0.6000","0.5534","0.0038","0.5534","1.1295","1.5681"
"0.6200","0.5702","0.0039","0.5702","1.1637","1.6114"
"0.6400","0.5870","0.0040","0.5870","1.1979","1.6480"
"0.6600","0.6035","0.0040","0.6035","1.2316","1.6755"
"0.6800","0.6198","0.0041","0.6198","1.2649","1.7069"
"0.7000","0.6363","0.0042","0.6363","1.2986","1.7331"
"0.7200","0.6528","0.0043","0.6528","1.3323","1.7742"
"0.7400","0.6696","0.0044","0.6696","1.3666","1.8150"
"0.7600","0.6865","0.0044","0.6865","1.4010","1.8529"
"0.7800","0.7034","0.0045","0.7034","1.4355","1.8828"
"0.8000","0.7200","0.0046","0.7200","1.4694","1.9064"
"0.8200","0.7365","0.0047","0.7365","1.5032","1.9481"
"0.8400","0.7531","0.0047","0.7531","1.5369","1.9713"
"0.8600","0.7698","0.0048","0.7698","1.5711","1.9822"
"0.8800","0.7866","0.0048","0.7866","1.6053","2.0120"
"0.9000","0.8034","0.0049","0.8034","1.6395","2.0233"
"0.9200","0.8202","0.0049","0.8202","1.6740","2.0440"
"0.9400","0.8369","0.0050","0.8369","1.7080","2.0850"
"0.9600","0.8533","0.0050","0.8533","1.7414","2.1031"
"0.9800","0.8697","0.0051","0.8697","1.7749","2.1239"
"1.0000","0.8864","0.0052","0.8864","1.8089","2.1484"
"1.0200","0.9032","0.0053","0.9032","1.8434","2.1886"
"1.0400","0.9200","0.0053","0.9200","1.8776","2.1975"
"1.0600","0.9367","0.0053","0.9367","1.9115","2.2182"
"1.0800","0.9533","0.0054","0.9533","1.9455","2.2516"
"1.1000","0.9698","0.0054","0.9698","1.9792","2.2647"
"1.1200","0.9861","0.0055","0.9861","2.0125","2.2769"
"1.1400","1.0029","0.0055","1.0029","2.0467","2.2822"
"1.1600","1.0198","0.0055","1.0198","2.0812","2.3036"
"1.1800","1.0365","0.0056","1.0365","2.1154","2.3247"
"1.2000","1.0533","0.0056","1.0533","2.1496","2.3383"
"1.2200","1.0701","0.0057","1.0701","2.1838","2.3590"
"1.2400","1.0867","0.0057","1.0867","2.2178","2.3785"
"1.2600","1.1031","0.0058","1.1031","2.2512","2.3981"
"1.2800","1.1196","0.0059","1.1196","2.2850","2.4516"
"1.3000","1.1364","0.0059","1.1364","2.3192","2.4710"
"1.3200","1.1534","0.0060","1.1534","2.3539","2.4894"
"1.3400","1.1700","0.0060","1.1700","2.3879","2.5033"
"1.3600","1.1866","0.0060","1.1866","2.4216","2.5170"
