Results Table 1


Results Table 2


1,Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
,(s),(mm),(kN),(mm),(%),(MPa)
2,Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
,(s),(mm),(kN),(mm),(%),(MPa)
"","0.0000","0.0000","0.0000","0.0000","0.0000","0.0099"
"","0.0200","0.0019","0.0000","0.0019","0.0039","0.0139"
"","0.0400","0.0130","0.0001","0.0130","0.0265","0.0257"
"","0.0600","0.0325","0.0001","0.0325","0.0663","0.0328"
"","0.0800","0.0550","0.0002","0.0550","0.1123","0.0698"
"","0.1000","0.0770","0.0003","0.0770","0.1571","0.1347"
"","0.1200","0.0970","0.0004","0.0970","0.1980","0.1838"
"","0.1400","0.1157","0.0006","0.1157","0.2361","0.2422"
"","0.1600","0.1335","0.0007","0.1335","0.2725","0.2992"
"","0.1800","0.1505","0.0008","0.1505","0.3072","0.3503"
"","0.2000","0.1674","0.0010","0.1674","0.3416","0.4034"
"","0.2200","0.1845","0.0011","0.1845","0.3766","0.4454"
"","0.2400","0.2014","0.0012","0.2014","0.4110","0.5044"
"","0.2600","0.2183","0.0013","0.2183","0.4455","0.5312"
"","0.2800","0.2352","0.0013","0.2352","0.4799","0.5570"
"","0.3000","0.2518","0.0014","0.2518","0.5139","0.6042"
"","0.3200","0.2683","0.0015","0.2683","0.5476","0.6326"
"","0.3400","0.2850","0.0016","0.2850","0.5816","0.6862"
"","0.3600","0.3016","0.0018","0.3016","0.6156","0.7326"
"","0.3800","0.3184","0.0017","0.3184","0.6498","0.7259"
"","0.4000","0.3352","0.0018","0.3352","0.6840","0.7634"
"","0.4200","0.3518","0.0020","0.3518","0.7180","0.8147"
"","0.4400","0.3683","0.0021","0.3683","0.7517","0.8683"
"","0.4600","0.3849","0.0022","0.3849","0.7854","0.8966"
"","0.4800","0.4015","0.0022","0.4015","0.8194","0.9282"
"","0.5000","0.4182","0.0023","0.4182","0.8534","0.9684"
"","0.5200","0.4349","0.0024","0.4349","0.8876","0.9956"
"","0.5400","0.4519","0.0024","0.4519","0.9223","1.0183"
"","0.5600","0.4687","0.0025","0.4687","0.9565","1.0517"
"","0.5800","0.4852","0.0026","0.4852","0.9902","1.0870"
"","0.6000","0.5017","0.0027","0.5017","1.0240","1.1230"
"","0.6200","0.5184","0.0028","0.5184","1.0579","1.1587"
"","0.6400","0.5350","0.0029","0.5350","1.0919","1.1947"
"","0.6600","0.5518","0.0029","0.5518","1.1261","1.2097"
"","0.6800","0.5687","0.0030","0.5687","1.1606","1.2411"
"","0.7000","0.5853","0.0031","0.5853","1.1945","1.2810"
"","0.7200","0.6018","0.0031","0.6018","1.2283","1.2971"
"","0.7400","0.6183","0.0032","0.6183","1.2617","1.3416"
"","0.7600","0.6348","0.0032","0.6348","1.2955","1.3417"
"","0.7800","0.6514","0.0032","0.6514","1.3294","1.3402"
"","0.8000","0.6682","0.0033","0.6682","1.3637","1.3952"
"","0.8200","0.6850","0.0034","0.6850","1.3979","1.4133"
"","0.8400","0.7018","0.0035","0.7018","1.4323","1.4383"
"","0.8600","0.7185","0.0035","0.7185","1.4663","1.4501"
"","0.8800","0.7349","0.0035","0.7349","1.4998","1.4706"
"","0.9000","0.7514","0.0036","0.7514","1.5335","1.4899"
"","0.9200","0.7683","0.0036","0.7683","1.5680","1.5117"
"","0.9400","0.7850","0.0037","0.7850","1.6019","1.5303"
"","0.9600","0.8017","0.0037","0.8017","1.6362","1.5428"
"","0.9800","0.8185","0.0038","0.8185","1.6704","1.5760"
"","1.0000","0.8351","0.0038","0.8351","1.7043","1.5882"
"","1.0200","0.8517","0.0038","0.8517","1.7381","1.5983"
"","1.0400","0.8682","0.0039","0.8682","1.7718","1.6205"
"","1.0600","0.8848","0.0039","0.8848","1.8058","1.6423"
"","1.0800","0.9017","0.0040","0.9017","1.8402","1.6663"
"","1.1000","0.9185","0.0041","0.9185","1.8744","1.6929"
"","1.1200","0.9351","0.0041","0.9351","1.9084","1.7039"
"","1.1400","0.9518","0.0041","0.9518","1.9424","1.7159"
"","1.1600","0.9682","0.0042","0.9682","1.9759","1.7317"
"","1.1800","0.9846","0.0042","0.9846","2.0094","1.7522"
"","1.2000","1.0012","0.0042","1.0012","2.0433","1.7613"
"","1.2200","1.0182","0.0043","1.0182","2.0780","1.7812"
