Results Table 1


Results Table 2


Time,Displacement,Force,Compressive displacement,Compressive strain (Displacement),Compressive stress,PIP count
(s),(mm),(kN),(mm),(%),(MPa),
"0.0000","0.0000","-0.0002","0.0000","0.0000","-0.0159","0.0000"
"0.0200","0.0021","-0.0002","0.0021","0.0014","-0.0152","0.0000"
"0.0400","0.0103","-0.0001","0.0103","0.0068","-0.0111","0.0000"
"0.0600","0.0274","0.0000","0.0274","0.0183","-0.0050","0.0000"
"0.0800","0.0503","-0.0001","0.0503","0.0335","-0.0068","0.0000"
"0.1000","0.0733","-0.0001","0.0733","0.0489","-0.0127","0.0000"
"0.1200","0.0946","-0.0001","0.0946","0.0630","-0.0131","0.0000"
"0.1400","0.1139","-0.0001","0.1139","0.0759","-0.0117","0.0000"
"0.1600","0.1321","-0.0002","0.1321","0.0881","-0.0152","0.0000"
"0.1800","0.1499","-0.0002","0.1499","0.1000","-0.0161","0.0000"
"0.2000","0.1675","-0.0002","0.1675","0.1117","-0.0160","0.0000"
"0.2200","0.1846","-0.0002","0.1846","0.1231","-0.0151","0.0000"
"0.2400","0.2015","-0.0001","0.2015","0.1343","-0.0132","0.0000"
"0.2600","0.2182","-0.0001","0.2182","0.1454","-0.0131","0.0000"
"0.2800","0.2349","-0.0002","0.2349","0.1566","-0.0160","0.0000"
"0.3000","0.2516","-0.0002","0.2516","0.1677","-0.0165","0.0000"
"0.3200","0.2685","-0.0002","0.2685","0.1790","-0.0155","0.0000"
"0.3400","0.2851","-0.0001","0.2851","0.1901","-0.0145","0.0000"
"0.3600","0.3019","-0.0002","0.3019","0.2012","-0.0170","0.0000"
"0.3800","0.3185","-0.0002","0.3185","0.2123","-0.0197","0.0000"
"0.4000","0.3350","-0.0002","0.3350","0.2234","-0.0189","0.0000"
"0.4200","0.3517","-0.0002","0.3517","0.2345","-0.0163","0.0000"
"0.4400","0.3683","-0.0002","0.3683","0.2456","-0.0151","0.0000"
"0.4600","0.3849","-0.0001","0.3849","0.2566","-0.0122","0.0000"
"0.4800","0.4016","-0.0001","0.4016","0.2678","-0.0109","0.0000"
"0.5000","0.4185","-0.0001","0.4185","0.2790","-0.0134","0.0000"
"0.5200","0.4354","-0.0002","0.4354","0.2903","-0.0175","0.0000"
"0.5400","0.4519","-0.0002","0.4519","0.3013","-0.0174","0.0000"
"0.5600","0.4684","-0.0001","0.4684","0.3123","-0.0135","0.0000"
"0.5800","0.4852","-0.0001","0.4852","0.3235","-0.0141","0.0000"
"0.6000","0.5020","-0.0002","0.5020","0.3346","-0.0178","0.0000"
"0.6200","0.5185","-0.0001","0.5185","0.3457","-0.0149","0.0000"
"0.6400","0.5353","-0.0001","0.5353","0.3568","-0.0126","0.0000"
"0.6600","0.5523","-0.0001","0.5523","0.3682","-0.0132","0.0000"
"0.6800","0.5687","-0.0002","0.5687","0.3791","-0.0157","0.0000"
"0.7000","0.5851","-0.0002","0.5851","0.3901","-0.0184","0.0000"
"0.7200","0.6016","-0.0002","0.6016","0.4011","-0.0158","0.0000"
"0.7400","0.6184","-0.0001","0.6184","0.4122","-0.0103","0.0000"
"0.7600","0.6350","-0.0001","0.6350","0.4233","-0.0087","0.0000"
"0.7800","0.6517","-0.0001","0.6517","0.4344","-0.0118","0.0000"
"0.8000","0.6684","-0.0001","0.6684","0.4456","-0.0141","0.0000"
"0.8200","0.6851","-0.0001","0.6851","0.4567","-0.0118","0.0000"
"0.8400","0.7014","-0.0001","0.7014","0.4676","-0.0130","0.0000"
"0.8600","0.7180","-0.0001","0.7180","0.4787","-0.0144","0.0000"
"0.8800","0.7349","-0.0001","0.7349","0.4899","-0.0137","0.0000"
"0.9000","0.7517","-0.0002","0.7517","0.5011","-0.0155","0.0000"
"0.9200","0.7684","-0.0002","0.7684","0.5123","-0.0156","0.0000"
"0.9400","0.7853","-0.0001","0.7853","0.5235","-0.0140","0.0000"
"0.9600","0.8021","-0.0001","0.8021","0.5347","-0.0146","0.0000"
"0.9800","0.8186","-0.0002","0.8186","0.5457","-0.0167","0.0000"
"1.0000","0.8349","-0.0002","0.8349","0.5566","-0.0172","0.0000"
"1.0200","0.8517","-0.0002","0.8517","0.5678","-0.0159","0.0000"
"1.0400","0.8684","-0.0001","0.8684","0.5789","-0.0128","0.0000"
"1.0600","0.8851","-0.0001","0.8851","0.5900","-0.0123","0.0000"
"1.0800","0.9018","-0.0001","0.9018","0.6012","-0.0135","0.0000"
"1.1000","0.9186","-0.0002","0.9186","0.6124","-0.0152","0.0000"
"1.1200","0.9352","-0.0001","0.9352","0.6235","-0.0141","0.0000"
"1.1400","0.9518","-0.0002","0.9518","0.6345","-0.0167","0.0000"
"1.1600","0.9683","-0.0002","0.9683","0.6455","-0.0180","0.0000"
"1.1800","0.9852","-0.0002","0.9852","0.6568","-0.0171","0.0000"
"1.2000","1.0019","-0.0001","1.0019","0.6680","-0.0148","0.0000"
"1.2200","1.0185","-0.0001","1.0185","0.6790","-0.0149","0.0000"
"1.2400","1.0351","-0.0001","1.0351","0.6901","-0.0136","0.0000"
"1.2600","1.0516","-0.0001","1.0516","0.7011","-0.0125","0.0000"
"1.2800","1.0680","-0.0001","1.0680","0.7120","-0.0107","0.0000"
"1.3000","1.0847","-0.0001","1.0847","0.7231","-0.0087","0.0000"
"1.3200","1.1018","-0.0001","1.1018","0.7345","-0.0097","0.0000"
"1.3400","1.1188","-0.0001","1.1188","0.7459","-0.0106","0.0000"
"1.3600","1.1356","-0.0001","1.1356","0.7571","-0.0137","0.0000"
"1.3800","1.1520","-0.0001","1.1520","0.7680","-0.0147","0.0000"
"1.4000","1.1684","-0.0001","1.1684","0.7789","-0.0133","0.0000"
"1.4200","1.1850","-0.0001","1.1850","0.7900","-0.0104","0.0000"
"1.4400","1.2016","-0.0001","1.2016","0.8010","-0.0101","0.0000"
"1.4600","1.2182","-0.0001","1.2182","0.8121","-0.0095","0.0000"
"1.4800","1.2350","-0.0001","1.2350","0.8233","-0.0089","0.0000"
"1.5000","1.2520","-0.0001","1.2520","0.8347","-0.0095","0.0000"
"1.5200","1.2686","-0.0001","1.2686","0.8458","-0.0081","0.0000"
"1.5400","1.2850","-0.0001","1.2850","0.8567","-0.0065","0.0000"
"1.5600","1.3018","-0.0001","1.3018","0.8679","-0.0069","0.0000"
